time(s) 	 Pos(mm) 	 Speed(mm/s) 	 u 	 Err
0.006001 	 0.000000 	 0.707607 	 0.000707 	 0.001414
0.011001 	 0.002500 	 0.708108 	 0.001415 	 0.000330
0.016999 	 0.005000 	 0.709112 	 0.002832 	 0.000664
0.022034 	 0.007500 	 0.709867 	 0.003896 	 0.000292
0.027000 	 0.010000 	 0.710624 	 0.004961 	 -0.000078
0.030997 	 0.012500 	 0.710876 	 0.005316 	 -0.001867
0.035000 	 0.015000 	 0.711888 	 0.006739 	 -0.001522
0.039996 	 0.017500 	 0.712395 	 0.007451 	 -0.002598
0.045035 	 0.020000 	 0.713157 	 0.008520 	 -0.002960
0.048998 	 0.022500 	 0.713920 	 0.009590 	 -0.003320
0.054033 	 0.025000 	 0.714430 	 0.010304 	 -0.004392
0.058035 	 0.027500 	 0.714941 	 0.011019 	 -0.005463
0.062035 	 0.030000 	 0.715452 	 0.011734 	 -0.006532
0.065996 	 0.032500 	 0.715964 	 0.012449 	 -0.005101
0.070033 	 0.035000 	 0.716990 	 0.013882 	 -0.007236
0.074034 	 0.037500 	 0.717504 	 0.014599 	 -0.008302
0.077999 	 0.040000 	 0.718277 	 0.015676 	 -0.009366
0.081995 	 0.042500 	 0.718535 	 0.016035 	 -0.010430
0.086996 	 0.045000 	 0.719309 	 0.017113 	 -0.010774
0.090996 	 0.047500 	 0.719827 	 0.017833 	 -0.011835
0.095992 	 0.050000 	 0.720345 	 0.018553 	 -0.012895
0.099993 	 0.052500 	 0.721123 	 0.019633 	 -0.013233
0.104995 	 0.055000 	 0.722164 	 0.021076 	 -0.012847
0.109992 	 0.057500 	 0.723207 	 0.022522 	 -0.012457
0.113991 	 0.060000 	 0.723991 	 0.023607 	 -0.012786
0.117991 	 0.062500 	 0.724515 	 0.024331 	 -0.013838
0.122030 	 0.065000 	 0.725040 	 0.025056 	 -0.014889
0.125993 	 0.067500 	 0.725828 	 0.026143 	 -0.015213
0.129997 	 0.070000 	 0.726618 	 0.027233 	 -0.015535
0.133991 	 0.072500 	 0.726881 	 0.027596 	 -0.017308
0.138028 	 0.075000 	 0.727673 	 0.028687 	 -0.017627
0.141995 	 0.077500 	 0.728732 	 0.030143 	 -0.017214
0.146991 	 0.080000 	 0.729262 	 0.030872 	 -0.018257
0.151991 	 0.082500 	 0.730059 	 0.031966 	 -0.018568
0.155991 	 0.085000 	 0.731123 	 0.033427 	 -0.018146
0.160028 	 0.087500 	 0.731924 	 0.034524 	 -0.018452
0.164989 	 0.090000 	 0.732459 	 0.035256 	 -0.019488
0.169988 	 0.092500 	 0.733262 	 0.036355 	 -0.019790
0.174037 	 0.095000 	 0.734067 	 0.037455 	 -0.020089
0.178026 	 0.097500 	 0.734873 	 0.038557 	 -0.020386
0.181989 	 0.100000 	 0.735412 	 0.039292 	 -0.021416
0.187027 	 0.102500 	 0.735951 	 0.040027 	 -0.022445
0.190989 	 0.105000 	 0.736761 	 0.041132 	 -0.022736
0.195990 	 0.107500 	 0.737302 	 0.041869 	 -0.023763
0.201026 	 0.110000 	 0.738387 	 0.043344 	 -0.023312
0.205027 	 0.112500 	 0.738658 	 0.043713 	 -0.025073
0.208985 	 0.115000 	 0.739202 	 0.044452 	 -0.026096
0.213987 	 0.117500 	 0.740291 	 0.045931 	 -0.025637
0.218025 	 0.120000 	 0.741110 	 0.047042 	 -0.025916
0.221988 	 0.122500 	 0.741657 	 0.047783 	 -0.026933
0.225985 	 0.125000 	 0.742205 	 0.048525 	 -0.027950
0.230986 	 0.127500 	 0.743027 	 0.049639 	 -0.028222
0.235022 	 0.130000 	 0.743852 	 0.050754 	 -0.028492
0.238986 	 0.132500 	 0.744402 	 0.051498 	 -0.029504
0.243023 	 0.135000 	 0.744953 	 0.052242 	 -0.030515
0.246983 	 0.137500 	 0.745781 	 0.053360 	 -0.030780
0.250985 	 0.140000 	 0.746611 	 0.054479 	 -0.031041
0.254985 	 0.142500 	 0.746888 	 0.054853 	 -0.032795
0.259986 	 0.145000 	 0.747997 	 0.056347 	 -0.032306
0.264984 	 0.147500 	 0.748553 	 0.057095 	 -0.033309
0.269021 	 0.150000 	 0.749667 	 0.058593 	 -0.032813
0.273019 	 0.152500 	 0.750224 	 0.059343 	 -0.033814
0.277020 	 0.155000 	 0.750783 	 0.060093 	 -0.034813
0.280981 	 0.157500 	 0.751622 	 0.061220 	 -0.035060
0.286034 	 0.160000 	 0.752463 	 0.062348 	 -0.035304
0.290018 	 0.162500 	 0.753306 	 0.063477 	 -0.035546
0.293980 	 0.165000 	 0.753868 	 0.064230 	 -0.036539
0.297983 	 0.167500 	 0.754431 	 0.064984 	 -0.037531
0.302984 	 0.170000 	 0.755278 	 0.066117 	 -0.037767
0.307016 	 0.172500 	 0.755843 	 0.066872 	 -0.038756
0.311020 	 0.175000 	 0.756975 	 0.068385 	 -0.038231
0.314981 	 0.177500 	 0.757258 	 0.068763 	 -0.039974
0.319982 	 0.180000 	 0.758110 	 0.069899 	 -0.040201
0.324018 	 0.182500 	 0.758963 	 0.071037 	 -0.040426
0.327980 	 0.185000 	 0.759247 	 0.071416 	 -0.042167
0.332979 	 0.187500 	 0.760674 	 0.073316 	 -0.040868
0.337026 	 0.190000 	 0.761245 	 0.074077 	 -0.041847
0.342017 	 0.192500 	 0.761818 	 0.074838 	 -0.042824
0.345980 	 0.195000 	 0.762677 	 0.075981 	 -0.043037
0.350992 	 0.197500 	 0.763252 	 0.076744 	 -0.044012
0.356015 	 0.200000 	 0.764114 	 0.077889 	 -0.044221
0.359976 	 0.202500 	 0.764978 	 0.079036 	 -0.044428
0.363976 	 0.205000 	 0.765555 	 0.079801 	 -0.045398
0.368980 	 0.207500 	 0.766132 	 0.080567 	 -0.046366
0.372979 	 0.210000 	 0.766711 	 0.081333 	 -0.047334
0.376978 	 0.212500 	 0.767579 	 0.082484 	 -0.047533
0.381977 	 0.215000 	 0.768159 	 0.083251 	 -0.048497
0.387014 	 0.217500 	 0.769321 	 0.084789 	 -0.047923
0.391013 	 0.220000 	 0.770195 	 0.085943 	 -0.048114
0.395013 	 0.222500 	 0.771069 	 0.087099 	 -0.048303
0.398976 	 0.225000 	 0.771946 	 0.088256 	 -0.048489
0.403976 	 0.227500 	 0.773410 	 0.090187 	 -0.047126
0.408010 	 0.230000 	 0.773703 	 0.090574 	 -0.048852
0.412011 	 0.232500 	 0.774584 	 0.091735 	 -0.049030
0.415973 	 0.235000 	 0.775172 	 0.092509 	 -0.049981
0.419972 	 0.237500 	 0.775761 	 0.093285 	 -0.050930
0.425010 	 0.240000 	 0.776940 	 0.094837 	 -0.050326
0.428974 	 0.242500 	 0.777531 	 0.095614 	 -0.051271
0.433972 	 0.245000 	 0.778418 	 0.096781 	 -0.051438
0.438972 	 0.247500 	 0.779307 	 0.097949 	 -0.051602
0.444011 	 0.250000 	 0.780197 	 0.099119 	 -0.051763
0.448972 	 0.252500 	 0.781387 	 0.100680 	 -0.051140
0.452974 	 0.255000 	 0.782281 	 0.101852 	 -0.051295
0.457010 	 0.257500 	 0.782579 	 0.102243 	 -0.053013
0.460973 	 0.260000 	 0.783474 	 0.103418 	 -0.053164
0.465972 	 0.262500 	 0.784072 	 0.104201 	 -0.054097
0.471010 	 0.265000 	 0.784970 	 0.105378 	 -0.054244
0.475006 	 0.267500 	 0.785570 	 0.106163 	 -0.055174
0.479969 	 0.270000 	 0.786771 	 0.107735 	 -0.054530
0.484007 	 0.272500 	 0.787072 	 0.108129 	 -0.056243
0.488007 	 0.275000 	 0.787673 	 0.108916 	 -0.057169
0.492007 	 0.277500 	 0.788276 	 0.109704 	 -0.058093
0.495968 	 0.280000 	 0.788879 	 0.110492 	 -0.059016
0.501005 	 0.282500 	 0.790389 	 0.112466 	 -0.057569
0.505006 	 0.285000 	 0.790994 	 0.113256 	 -0.058488
0.509006 	 0.287500 	 0.791600 	 0.114047 	 -0.059405
0.513006 	 0.290000 	 0.792510 	 0.115235 	 -0.059530
0.517005 	 0.292500 	 0.793421 	 0.116424 	 -0.059651
0.520969 	 0.295000 	 0.794029 	 0.117218 	 -0.060564
0.525969 	 0.297500 	 0.794942 	 0.118410 	 -0.060681
0.529967 	 0.300000 	 0.795247 	 0.118807 	 -0.062386
0.533968 	 0.302500 	 0.795857 	 0.119602 	 -0.063295
0.538005 	 0.305000 	 0.797079 	 0.121195 	 -0.062610
0.542967 	 0.307500 	 0.797691 	 0.121992 	 -0.063515
0.546966 	 0.310000 	 0.798303 	 0.122790 	 -0.064420
0.550964 	 0.312500 	 0.799223 	 0.123988 	 -0.064524
0.554965 	 0.315000 	 0.800144 	 0.125187 	 -0.064625
0.559003 	 0.317500 	 0.800759 	 0.125988 	 -0.065525
0.562964 	 0.320000 	 0.801682 	 0.127189 	 -0.065622
0.566964 	 0.322500 	 0.802298 	 0.127991 	 -0.066518
0.570963 	 0.325000 	 0.802915 	 0.128793 	 -0.067413
0.574965 	 0.327500 	 0.804150 	 0.130400 	 -0.066700
0.579964 	 0.330000 	 0.805077 	 0.131607 	 -0.066786
0.584963 	 0.332500 	 0.806006 	 0.132815 	 -0.066870
0.588967 	 0.335000 	 0.806937 	 0.134024 	 -0.066951
0.593965 	 0.337500 	 0.807868 	 0.134832 	 -0.067837
0.597963 	 0.340000 	 0.808179 	 0.135639 	 -0.068721
0.602962 	 0.342500 	 0.809423 	 0.137257 	 -0.067987
0.606962 	 0.345000 	 0.809735 	 0.137661 	 -0.069677
0.610962 	 0.347500 	 0.810670 	 0.138876 	 -0.069747
0.614962 	 0.350000 	 0.811606 	 0.140499 	 -0.069814
0.618964 	 0.352500 	 0.812856 	 0.141717 	 -0.069066
0.622961 	 0.355000 	 0.813795 	 0.142937 	 -0.069940
0.626964 	 0.357500 	 0.814735 	 0.144158 	 -0.069184
0.630959 	 0.360000 	 0.815362 	 0.144973 	 -0.070054
0.634963 	 0.362500 	 0.815990 	 0.145788 	 -0.070923
0.638961 	 0.365000 	 0.816618 	 0.146604 	 -0.071791
0.642964 	 0.367500 	 0.817876 	 0.148239 	 -0.071023
0.646959 	 0.370000 	 0.818191 	 0.148648 	 -0.072705
0.651964 	 0.372500 	 0.819136 	 0.149875 	 -0.072749
0.655960 	 0.375000 	 0.820082 	 0.151105 	 -0.072791
0.659957 	 0.377500 	 0.820713 	 0.151925 	 -0.073651
0.663959 	 0.380000 	 0.821345 	 0.152746 	 -0.074509
0.667959 	 0.382500 	 0.821977 	 0.153567 	 -0.075366
0.671958 	 0.385000 	 0.822610 	 0.154389 	 -0.076221
0.675958 	 0.387500 	 0.823560 	 0.155624 	 -0.076253
0.679958 	 0.390000 	 0.824194 	 0.156447 	 -0.077105
0.683957 	 0.392500 	 0.825145 	 0.157684 	 -0.077132
0.688957 	 0.395000 	 0.826415 	 0.159335 	 -0.076329
0.692957 	 0.397500 	 0.827051 	 0.160162 	 -0.077176
0.697955 	 0.400000 	 0.828005 	 0.161403 	 -0.077194
0.701959 	 0.402500 	 0.828961 	 0.162645 	 -0.077209
0.705955 	 0.405000 	 0.829917 	 0.163889 	 -0.077221
0.709954 	 0.407500 	 0.830554 	 0.164719 	 -0.078061
0.714958 	 0.410000 	 0.831512 	 0.165966 	 -0.078068
0.719955 	 0.412500 	 0.832470 	 0.167214 	 -0.078073
0.722959 	 0.415000 	 0.833110 	 0.168046 	 -0.078908
0.726956 	 0.417500 	 0.834069 	 0.169296 	 -0.078907
0.729955 	 0.420000 	 0.834710 	 0.170131 	 -0.079739
0.733954 	 0.422500 	 0.835350 	 0.170965 	 -0.080569
0.737954 	 0.425000 	 0.836312 	 0.172219 	 -0.080562
0.740955 	 0.427500 	 0.836953 	 0.173055 	 -0.081389
0.744954 	 0.430000 	 0.837595 	 0.173893 	 -0.082215
0.747953 	 0.432500 	 0.838237 	 0.174730 	 -0.083039
0.750955 	 0.435000 	 0.838879 	 0.175569 	 -0.083863
0.753951 	 0.437500 	 0.839522 	 0.176408 	 -0.084685
0.756954 	 0.440000 	 0.840487 	 0.177667 	 -0.085505
