time(s) 	 Pos(mm) 	 Speed(mm/s) 	 u 	 Err
0.016998 	 0.000000 	 0.707607 	 0.000707 	 0.001414
0.020997 	 0.002500 	 0.708108 	 0.001415 	 0.000330
0.025000 	 0.005000 	 0.708359 	 0.001769 	 -0.001462
0.030058 	 0.007500 	 0.709364 	 0.003186 	 -0.001127
0.032002 	 0.010000 	 0.709364 	 0.003186 	 -0.001127
0.036044 	 0.012500 	 0.710119 	 0.004251 	 -0.003998
0.041056 	 0.015000 	 0.711129 	 0.005672 	 -0.003656
0.045038 	 0.017500 	 0.711382 	 0.006027 	 -0.005445
0.049998 	 0.020000 	 0.712395 	 0.007451 	 -0.005810
0.054018 	 0.022500 	 0.712903 	 0.008164 	 -0.006173
0.058022 	 0.025000 	 0.713666 	 0.009233 	 -0.006533
0.062021 	 0.027500 	 0.714430 	 0.010304 	 -0.006892
0.066009 	 0.030000 	 0.715452 	 0.011734 	 -0.006532
0.069995 	 0.032500 	 0.715708 	 0.012091 	 -0.008317
0.075021 	 0.035000 	 0.716733 	 0.013524 	 -0.007953
0.079021 	 0.037500 	 0.717247 	 0.014241 	 -0.009019
0.082994 	 0.040000 	 0.717761 	 0.014958 	 -0.010084
0.086999 	 0.042500 	 0.718535 	 0.016035 	 -0.010430
0.091020 	 0.045000 	 0.719309 	 0.017113 	 -0.010774
0.095019 	 0.047500 	 0.720086 	 0.018192 	 -0.011115
0.099051 	 0.050000 	 0.720863 	 0.019273 	 -0.011454
0.103051 	 0.052500 	 0.721383 	 0.019994 	 -0.012512
0.107034 	 0.055000 	 2.000000 	 0.020715 	 -0.013569
0.112037 	 0.057500 	 0.722685 	 0.021799 	 -0.013903
0.115994 	 0.060000 	 0.723468 	 0.022883 	 -0.014234
0.120020 	 0.062500 	 0.724253 	 0.023969 	 -0.014562
0.124034 	 0.065000 	 0.724777 	 0.024693 	 -0.015614
0.128036 	 0.067500 	 0.725828 	 0.026143 	 -0.015213
0.131991 	 0.070000 	 0.726091 	 0.026506 	 -0.016987
0.136052 	 0.072500 	 0.727409 	 0.028323 	 -0.016581
0.140036 	 0.075000 	 0.727937 	 0.029050 	 -0.016899
0.145034 	 0.077500 	 0.728732 	 0.030143 	 -0.017214
0.148989 	 0.080000 	 0.729527 	 0.031236 	 -0.017527
0.153052 	 0.082500 	 0.730059 	 0.031966 	 -0.018568
0.158018 	 0.085000 	 0.731123 	 0.033427 	 -0.018146
0.162048 	 0.087500 	 0.731657 	 0.034158 	 -0.019184
0.166989 	 0.090000 	 0.732191 	 0.034890 	 -0.020220
0.171048 	 0.092500 	 0.733262 	 0.036355 	 -0.019790
0.176030 	 0.095000 	 0.734067 	 0.037455 	 -0.020089
0.180044 	 0.097500 	 0.734604 	 0.038190 	 -0.021121
0.183988 	 0.100000 	 0.735412 	 0.039292 	 -0.021416
0.187989 	 0.102500 	 0.736221 	 0.040395 	 -0.021709
0.191992 	 0.105000 	 0.737032 	 0.041500 	 -0.022000
0.196004 	 0.107500 	 0.737573 	 0.042237 	 -0.023025
0.201987 	 0.110000 	 0.738658 	 0.043713 	 -0.022573
0.205995 	 0.112500 	 0.739474 	 0.044822 	 -0.022857
0.209986 	 0.115000 	 0.740019 	 0.045561 	 -0.023877
0.214988 	 0.117500 	 0.740837 	 0.046672 	 -0.024157
0.219008 	 0.120000 	 0.741384 	 0.047413 	 -0.025175
0.223016 	 0.122500 	 0.741931 	 0.048154 	 -0.026192
0.227029 	 0.125000 	 0.742753 	 0.049268 	 -0.026465
0.231028 	 0.127500 	 0.743577 	 0.050382 	 -0.026736
0.235028 	 0.130000 	 0.744127 	 0.051126 	 -0.027748
0.239038 	 0.132500 	 0.745229 	 0.052615 	 -0.027270
0.242986 	 0.135000 	 2.000000 	 0.052987 	 -0.029025
0.246985 	 0.137500 	 0.746334 	 0.054106 	 -0.029288
0.251985 	 0.140000 	 0.747165 	 0.055226 	 -0.029548
0.255984 	 0.142500 	 0.748275 	 0.056721 	 -0.029058
0.260010 	 0.145000 	 0.748553 	 0.057095 	 -0.030809
0.264043 	 0.147500 	 0.749667 	 0.058593 	 -0.030313
0.268984 	 0.150000 	 0.750224 	 0.059343 	 -0.031314
0.272981 	 0.152500 	 0.751063 	 0.060469 	 -0.031562
0.278009 	 0.155000 	 0.751903 	 0.061596 	 -0.031808
0.282039 	 0.157500 	 0.752744 	 0.062724 	 -0.032052
0.287008 	 0.160000 	 0.753587 	 0.063854 	 -0.032293
0.291040 	 0.162500 	 0.754995 	 0.065739 	 -0.031022
0.294983 	 0.165000 	 0.755560 	 0.066494 	 -0.032012
0.299038 	 0.167500 	 0.756125 	 0.067250 	 -0.033000
0.303019 	 0.170000 	 0.756408 	 0.067628 	 -0.034744
0.308008 	 0.172500 	 0.757542 	 0.069142 	 -0.034217
0.313019 	 0.175000 	 0.758394 	 0.070278 	 -0.034443
0.317978 	 0.177500 	 0.759247 	 0.071416 	 -0.034667
0.322007 	 0.180000 	 0.759817 	 0.072176 	 -0.035648
0.326115 	 0.182500 	 0.760674 	 0.073316 	 -0.035868
0.330015 	 0.185000 	 0.760959 	 0.073696 	 -0.037607
0.333980 	 0.187500 	 0.761818 	 0.074838 	 -0.037824
0.338021 	 0.190000 	 0.762964 	 0.076363 	 -0.037275
0.341979 	 0.192500 	 0.763539 	 0.077126 	 -0.038249
0.346015 	 0.195000 	 0.764114 	 0.077889 	 -0.039221
0.349976 	 0.197500 	 0.764690 	 0.078654 	 -0.040193
0.353980 	 0.200000 	 0.765555 	 0.079801 	 -0.040398
0.359040 	 0.202500 	 0.766421 	 0.080950 	 -0.040600
0.362977 	 0.205000 	 0.767290 	 0.082100 	 -0.040800
0.367975 	 0.207500 	 0.768159 	 0.083251 	 -0.040997
0.372039 	 0.210000 	 0.768740 	 0.084020 	 -0.041961
0.376022 	 0.212500 	 0.769612 	 0.085173 	 -0.042154
0.381022 	 0.215000 	 0.770195 	 0.085943 	 -0.043114
0.384979 	 0.217500 	 0.771069 	 0.087099 	 -0.043303
0.389979 	 0.220000 	 0.771653 	 0.087870 	 -0.044260
0.394979 	 0.222500 	 0.772531 	 0.089028 	 -0.044444
0.400029 	 0.225000 	 0.773996 	 0.090961 	 -0.043079
0.403974 	 0.227500 	 0.774290 	 0.091348 	 -0.044805
0.408975 	 0.230000 	 0.775172 	 0.092509 	 -0.044981
0.413032 	 0.232500 	 0.776055 	 0.093673 	 -0.045155
0.417029 	 0.235000 	 0.776350 	 0.094061 	 -0.046879
0.422028 	 0.237500 	 0.777235 	 0.095226 	 -0.047049
0.426005 	 0.240000 	 0.777827 	 0.096003 	 -0.047994
0.429998 	 0.242500 	 0.778418 	 0.096781 	 -0.048938
0.434024 	 0.245000 	 0.779604 	 0.098339 	 -0.048322
0.438003 	 0.247500 	 0.780197 	 0.099119 	 -0.049263
0.442016 	 0.250000 	 0.780792 	 0.099899 	 -0.050202
0.446015 	 0.252500 	 0.781685 	 0.101070 	 -0.050359
0.450972 	 0.255000 	 0.782281 	 0.101852 	 -0.051295
0.456015 	 0.257500 	 0.783773 	 0.103810 	 -0.049881
0.461000 	 0.260000 	 0.784372 	 0.104593 	 -0.050813
0.465969 	 0.262500 	 0.785570 	 0.106163 	 -0.050174
0.470031 	 0.265000 	 0.786170 	 0.106949 	 -0.051102
0.475010 	 0.267500 	 0.787372 	 0.108522 	 -0.050456
0.479016 	 0.270000 	 0.787974 	 0.109310 	 -0.051381
0.484032 	 0.272500 	 0.788879 	 0.110492 	 -0.051516
0.487971 	 0.275000 	 0.789784 	 0.111676 	 -0.051649
0.492997 	 0.277500 	 0.790994 	 0.113256 	 -0.050988
0.497995 	 0.280000 	 0.791903 	 0.114443 	 -0.051114
0.503015 	 0.282500 	 0.792813 	 0.115631 	 -0.051237
0.506995 	 0.285000 	 0.793421 	 0.116424 	 -0.052151
0.511015 	 0.287500 	 0.794638 	 0.118012 	 -0.051476
0.514979 	 0.290000 	 0.795247 	 0.118807 	 -0.052386
0.519990 	 0.292500 	 0.796162 	 0.120000 	 -0.052499
0.524027 	 0.295000 	 2.000000 	 0.121195 	 -0.053407
0.529015 	 0.297500 	 0.797997 	 0.122391 	 -0.052718
0.532966 	 0.300000 	 0.798916 	 0.123589 	 -0.052823
0.536968 	 0.302500 	 0.799837 	 0.124787 	 -0.052925
0.540966 	 0.305000 	 0.800759 	 0.125988 	 -0.053025
0.545027 	 0.307500 	 0.801374 	 0.126789 	 -0.053923
0.548965 	 0.310000 	 0.802298 	 0.127991 	 -0.054018
0.553023 	 0.312500 	 0.802915 	 0.128793 	 -0.054913
0.557016 	 0.315000 	 0.804150 	 0.130400 	 -0.054200
0.561015 	 0.317500 	 0.804459 	 0.130802 	 -0.055895
0.564969 	 0.320000 	 0.805387 	 0.132009 	 -0.055981
0.568979 	 0.322500 	 0.806316 	 0.133218 	 -0.056064
0.573015 	 0.325000 	 0.807247 	 0.134428 	 -0.056144
0.578015 	 0.327500 	 0.808179 	 0.135639 	 -0.056221
0.582963 	 0.330000 	 0.809112 	 0.136852 	 -0.056296
0.587015 	 0.332500 	 0.810358 	 0.138471 	 -0.055558
0.591961 	 0.335000 	 0.811294 	 0.139687 	 -0.056437
0.594007 	 0.337500 	 0.811918 	 0.140499 	 -0.056503
0.599008 	 0.340000 	 0.812543 	 0.141311 	 -0.057379
0.603015 	 0.342500 	 0.813169 	 0.142123 	 -0.058253
0.607015 	 0.345000 	 0.814421 	 0.143751 	 -0.057499
0.611001 	 0.347500 	 0.815048 	 0.144565 	 -0.058369
0.615960 	 0.350000 	 0.815990 	 0.145788 	 -0.058423
0.620034 	 0.352500 	 0.816932 	 0.147013 	 -0.058474
0.625013 	 0.355000 	 0.818191 	 0.148648 	 -0.057705
0.629968 	 0.357500 	 0.818821 	 0.149466 	 -0.058568
0.633961 	 0.360000 	 0.819767 	 0.150695 	 -0.058611
0.638001 	 0.362500 	 0.820713 	 0.151925 	 -0.058651
0.641961 	 0.365000 	 0.821661 	 0.153156 	 -0.058687
0.646007 	 0.367500 	 0.822294 	 0.153978 	 -0.059544
0.649958 	 0.370000 	 0.823243 	 0.155212 	 -0.059576
0.653960 	 0.372500 	 0.823877 	 0.156035 	 -0.060429
0.658959 	 0.375000 	 0.825145 	 0.157684 	 -0.059632
0.662959 	 0.377500 	 0.826098 	 0.158922 	 -0.059655
0.666013 	 0.380000 	 0.826733 	 0.159749 	 -0.060503
0.670995 	 0.382500 	 0.828005 	 0.161403 	 -0.059694
0.674994 	 0.385000 	 0.828324 	 0.161817 	 -0.061366
0.678995 	 0.387500 	 0.829279 	 0.163060 	 -0.061380
0.684958 	 0.390000 	 0.830235 	 0.164304 	 -0.061391
0.688993 	 0.392500 	 0.831512 	 0.165966 	 -0.060568
0.692016 	 0.395000 	 0.832151 	 0.166797 	 -0.061405
0.696011 	 0.397500 	 0.832790 	 0.167630 	 -0.062240
0.699992 	 0.400000 	 0.833749 	 0.168879 	 -0.062241
0.704954 	 0.402500 	 0.834389 	 0.169713 	 -0.063073
0.707957 	 0.405000 	 0.835671 	 0.171383 	 -0.063069
0.711016 	 0.407500 	 0.836312 	 0.172219 	 -0.063062
0.714009 	 0.410000 	 0.837274 	 0.173474 	 -0.063052
0.717006 	 0.412500 	 0.837916 	 0.174311 	 -0.063877
0.721987 	 0.415000 	 0.838558 	 0.175149 	 -0.064701
0.725024 	 0.417500 	 0.839522 	 0.176408 	 -0.065524
0.728008 	 0.420000 	 2.000000 	 0.177247 	 -0.066345
0.731008 	 0.422500 	 0.840487 	 0.177667 	 -0.067165
0.734020 	 0.425000 	 0.841452 	 0.178929 	 -0.067143
0.737989 	 0.427500 	 0.841774 	 0.179349 	 -0.068801
